#Неправильные глаголы по приоритету 3
#separator:Semicolon
#html:true
#tags:verb verb_p3
#notetype:German
#columns:Front;Form2;Form3;Back;Example;ExampleTranslation;
reiten;ritt;geritten;ездить верхом;<i>Ich möchte im Urlaub Pferd <b>reiten</b>.</i>;<i>Я хочу в отпуске <b>ездить верхом</b> на лошади.</i>;
schneiden;schnitt;geschnitten;резать;<i>Kannst du bitte das Brot <b>schneiden</b>?</i>;<i>Можешь, пожалуйста, <b>нарезать</b> хлеб?</i>;
schreien;schrie;geschrien;кричать;<i>Er muss nicht so laut <b>schreien</b>.</i>;<i>Он не должен так громко <b>кричать</b>.</i>;
springen;sprang;gesprungen;прыгать;<i>Die Kinder wollen im Garten <b>springen</b>.</i>;<i>Дети хотят <b>прыгать</b> в саду.</i>;
steigen;stieg;gestiegen;подниматься;<i>Der Preis wird bald <b>steigen</b>.</i>;<i>Цена скоро <b>поднимется</b>.</i>;
streiten;stritt;gestritten;спорить, ссориться;<i>Wir wollen nicht <b>streiten</b>.</i>;<i>Мы не хотим <b>ссориться</b>.</i>;
tragen (trägt);trug;getragen;нести;<i>Sie muss die Tasche <b>tragen</b>.</i>;<i>Она должна <b>нести</b> сумку.</i>;
waschen (wäscht);wusch;gewaschen;мыть;<i>Ich muss meine Kleidung <b>waschen</b>.</i>;<i>Я должен <b>постирать</b> свою одежду.</i>;
gewinnen;gewann;gewonnen;выигрывать, добывать;<i>Wir hoffen, das Spiel zu <b>gewinnen</b>.</i>;<i>Мы надеемся <b>выиграть</b> игру.</i>;
fliegen;flog;geflogen;летать;<i>Ich möchte nach Spanien <b>fliegen</b>.</i>;<i>Я хочу <b>полететь</b> в Испанию.</i>;
fließen;floss;geflossen;течь;<i>Das Wasser wird bald <b>fließen</b>.</i>;<i>Вода скоро <b>потечет</b>.</i>;
riechen;roch;gerochen;нюхать, пахнуть;<i>Kannst du das Essen <b>riechen</b>?</i>;<i>Ты можешь <b>понюхать</b> еду?</i>;
schieben;schob;geschoben;двигать;<i>Du musst den Tisch zur Seite <b>schieben</b>.</i>;<i>Ты должен <b>подвинуть</b> стол в сторону.</i>;
sinken;sank;gesunken;погружаться;<i>Das Schiff wird <b>sinken</b>.</i>;<i>Корабль <b>затонет</b>.</i>;
verschwinden;verschwand;verschwunden;исчезать;<i>Der Hase kann schnell <b>verschwinden</b>.</i>;<i>Заяц может быстро <b>исчезнуть</b>.</i>;
binden;band;gebunden;завязывать, связывать;<i>Sie muss die Schnürsenkel <b>binden</b>.</i>;<i>Она должна <b>завязать</b> шнурки.</i>;
singen;sang;gesungen;петь;<i>Er kann sehr schön <b>singen</b>.</i>;<i>Он может очень красиво <b>петь</b>.</i>;
sterben (stirbt);starb;gestorben;умирать;<i>Alle Menschen müssen einmal <b>sterben</b>.</i>;<i>Все люди должны однажды <b>умереть</b>.</i>;
backen (bäckt);buk/backte;gebacken;печь;<i>Meine Mutter kann gut Kuchen <b>backen</b>.</i>;<i>Моя мама умеет хорошо <b>печь</b> пироги.</i>;
laden (lädt);lud;geladen;грузить;<i>Wir müssen die Batterie <b>laden</b>.</i>;<i>Мы должны <b>зарядить</b> батарею.</i>;
schaffen;schuf;geschaffen;создавать;<i>Ich kann die Arbeit heute <b>schaffen</b>.</i>;<i>Я <b>смогу</b> сделать работу сегодня.</i>;
schlagen (schlägt);schlug;geschlagen;бить;<i>Er will den Nagel in die Wand <b>schlagen</b>.</i>;<i>Он хочет <b>вбить</b> гвоздь в стену.</i>;
braten (brät);briet;gebraten;жарить;<i>Wir können Fleisch in der Pfanne <b>braten</b>.</i>;<i>Мы можем <b>жарить</b> мясо на сковороде.</i>;
fallen (fällt);fiel;gefallen;падать;<i>Du sollst nicht <b>fallen</b>!</i>;<i>Ты не должен <b>падать</b>!</i>;
gefallen (gefällt);gefiel;gefallen;нравиться;<i>Mir muss das Kleid <b>gefallen</b>.</i>;<i>Платье мне должно <b>нравиться</b>.</i>;
hängen;hing;gehangen;повесить;<i>Das Bild soll an der Wand <b>hängen</b>.</i>;<i>Картина должна <b>висеть</b> на стене.</i>;
heißen;hieß;geheißen;называться;<i>Wie soll der Hund <b>heißen</b>?</i>;<i>Как <b>должна зваться</b> собака?</i>;
vergessen (vergisst);vergaß;vergessen;забывать;<i>Ich darf meinen Schlüssel nicht <b>vergessen</b>.</i>;<i>Я <b>не должен забывать</b> свой ключ.</i>;
bitten;bat;gebeten;просить;<i>Ich möchte dich um Hilfe <b>bitten</b>.</i>;<i>Я хочу тебя <b>попросить</b> о помощи.</i>;
tun (tut);tat;getan;делать;<i>Was kann ich für dich <b>tun</b>?</i>;<i>Что я могу для тебя <b>сделать</b>?</i>;
