#Неправильные глаголы по приоритету 4
#separator:Semicolon
#html:true
#tags:verb verb_p4
#notetype:German
#columns:Front;Form2;Form3;Back;Example;EampleTranslation;
lügen;log;gelogen;лгать;<i>Du sollst nicht <b>lügen</b>.</i>;<i>Ты не должен <b>лгать</b>.</i>;
schmelzen (schmilzt);schmolz;geschmolzen;таять, плавиться;<i>Das Eis wird schnell <b>schmelzen</b>.</i>;<i>Лед быстро <b>растает</b>.</i>;
wiegen;wog;gewogen;взвешивать, весить;<i>Sie müssen das Gemüse <b>wiegen</b>.</i>;<i>Вы должны <b>взвесить</b> овощи.</i>;
beißen;biss;gebissen;кусать;<i>Der Hund kann <b>beißen</b>.</i>;<i>Собака может <b>укусить</b>.</i>;
gleichen;glich;geglichen;быть похожим;<i>Das Kind muss dem Vater <b>gleichen</b>.</i>;<i>Ребенок должен <b>быть похожим</b> на отца.</i>;
gleiten;glitt;geglitten;скользить;<i>Das Boot kann auf dem Wasser <b>gleiten</b>.</i>;<i>Лодка может <b>скользить</b> по воде.</i>;
leiden;litt;gelitten;страдать;<i>Er muss sehr unter der Krankheit <b>leiden</b>.</i>;<i>Он должен очень <b>страдать</b> от болезни.</i>;
pfeifen;pfiff;gepfiffen;свистеть;<i>Der Vogel kann schön <b>pfeifen</b>.</i>;<i>Птица может красиво <b>свистеть</b>.</i>;
reißen;riss;gerissen;рвать;<i>Man kann das Papier leicht <b>reißen</b>.</i>;<i>Можно легко <b>порвать</b> бумагу.</i>;
schreiten;schritt;geschritten;шагать, шествовать;<i>Sie werden langsam vorwärts <b>schreiten</b>.</i>;<i>Они будут медленно <b>шагать</b> вперед.</i>;
streichen;strich;gestrichen;красить, намазывать, вычеркивать, бродить;<i>Ich muss die Wand <b>streichen</b>.</i>;<i>Я должен <b>покрасить</b> стену.</i>;
blasen (bläst);blies;geblasen;дуть, выдувать;<i>Er kann Seifenblasen <b>blasen</b>.</i>;<i>Он может <b>выдувать</b> мыльные пузыри.</i>;
raten (rät);riet;geraten;советовать;<i>Ich kann dir nur <b>raten</b>, vorsichtig zu sein.</i>;<i>Я могу только <b>посоветовать</b> тебе быть осторожным.</i>;
fangen (fängt);fing;gefangen;ловить;<i>Der Fischer will Fische <b>fangen</b>.</i>;<i>Рыбак хочет <b>ловить</b> рыбу.</i>;
hauen;haute/hieb;gehauen;бить, ударять;<i>Man soll nicht auf den Tisch <b>hauen</b>.</i>;<i>Нельзя <b>бить</b> по столу.</i>;
stoßen (stößt);stieß;gestoßen;толкать, ударять;<i>Du darfst ihn nicht <b>stoßen</b>.</i>;<i>Ты не должен его <b>толкать</b>.</i>;
treten (tritt);trat;getreten;(на)ступать, пинать;<i>Er will auf den Ball <b>treten</b>.</i>;<i>Он хочет <b>пнуть</b> мяч.</i>;
befehlen (befiehlt);befahl;befohlen;приказывать;<i>Der Offizier muss seinen Soldaten <b>befehlen</b>.</i>;<i>Офицер должен <b>приказывать</b> своим солдатам.</i>;
bergen (birgt);barg;geborgen;спасать, прятать;<i>Wir müssen die Schätze aus dem Meer <b>bergen</b>.</i>;<i>Мы должны <b>спасти</b> сокровища из моря.</i>;
bersten (birst);barst;geborsten;трескаться;<i>Der Ballon wird bald <b>bersten</b>.</i>;<i>Воздушный шар скоро <b>лопнет</b>.</i>;
brechen (bricht);brach;gebrochen;ломать;<i>Sie kann den Ast leicht <b>brechen</b>.</i>;<i>Она может легко <b>сломать</b> ветку.</i>;
erschrecken (erschrickt);erschrak;erschrocken;испугать;<i>Du sollst mich nicht <b>erschrecken</b>.</i>;<i>Ты не должен меня <b>пугать</b>.</i>;
gelten (gilt);galt;gegolten;считаться, относиться;<i>Diese Regel muss für alle <b>gelten</b>.</i>;<i>Это правило должно <b>относиться</b> ко всем.</i>;
werben (wirbt);warb;geworben;набирать, рекламировать;<i>Die Firma muss für ihr Produkt <b>werben</b>.</i>;<i>Фирма должна <b>рекламировать</b> свой продукт.</i>;
