#Слова, которые встречаются при выполнении домашек, про которые Даша не знает
#separator:Semicolon
#html:true
#tags:hometask random домашка рандом
#columns:Front;Back;Example;Notes
das Lachen;смех;<i>Ihr <b>Lachen</b> ist ansteckend.</i>;;
vermuten;предполагать;<i>Ich <b>vermutete</b>, dass der Mann im Anzug der Manager war.</i>;;
das Blut;кровь;<i>Das Herz pumpt <b>Blut</b> durch den Körper.</i>;;
die Volksweisheiten;народная мудрость;<i> <b></b></i>;;
längst;длинный;<i> <b></b></i>;;
der Beweis;доказательство, улика;<i>Die Fingerabdrücke waren ein eindeutiger <b>Beweis</b>.</i>;;
wissenschaftlich;научный;<i>Dieses <b>wissenschaftliche</b> Journal hat einen sehr guten Ruf.</i>;;
das Fachgebiet;специальность;<i>Der Professor ist ein Experte im <b>Fachgebiet</b> Literatur.</i>;;
die Forschung;исследование;<i>Wir spezialisieren uns auf die mikrobiologische <b>Forschung</b>.</i>;;
die (Aus)Wirkung;эффект, влияние;<i>Die neuen Strategien hatten eine große <b>Auswirkung</b> auf die Wirtschaft.</i><br /><i>Leise Musik hat oft eine beruhigende <b>Wirkung</b>.</i>;;
der Körper;тело;<i>Das Herz pumpt Blut durch <b>den Körper</b>.</i>;;
die Anzahl;число;<i>Die Vorauswahl reduzierte <b>die Anzahl</b> der Kandidaten auf drei.</i>;;
gehören;принадлежать, относиться;<i>Die Herde <b>gehört</b> dem Bauern.</i>;;
sogenannt;так называемый;<i>Es herrschte oft kaltes Wetter im diesjährigen <b>sogenannten</b> Sommer.</i>;;
die Menge;количество;<i>Die Medizin ist harmlos in kleinen <b>Mengen</b>.</i>;;
schädlich;вредный, вредоносный;<i>Unsere Produkte enthalten keine <b>schädlichen</b> Substanzen.</i>;;
gering;низкий, маленький, плохой (poor);<i>Die Risiken sind nicht hoch, sie sind sehr <b>gering</b>.</i>;;
die Träne;слеза;<i><b>Tränen</b> strömten aus ihren Augen, während sie sich umarmten.</i>;;
der Schutz;защита, щит;<i>Ein Dach bietet <b>Schutz</b> vor Regen.</i>;;
die Bewegung;движение;<i>Ihre <b>Bewegungen</b> waren anmutig und elegant.</i>;;
mühevoll;трудоемкий;<i>Nach einem Tag <b>mühevoller</b> Arbeit war ich sehr müde.</i>;;
das Abnehmen;похудение;<i><b></b></i>;;
der Durchschnitt;в среднем;<i><b>Im Durchschnitt</b> dauert die Lieferung zwei Wochen, manchmal mehr, manchmal weniger.</i>;;
erfrischen;освежать;<i>Sie trug eine Gesichtsmaske auf, um ihre Haut zu <b>erfrischen</b>.</i>;;
nutzen;использовать;<i>Er <b>nutzt</b> sein Wissen für die Arbeit.</i>;;
heftig;интенсивный, сильный;<i>Zum Glück hat der <b>heftige</b> Sturm keine Schäden verursacht.</i>;;
anfänglich;начальный;<i>Nach <b>anfänglichen</b> Schwierigkeiten war das Projekt ein großer Erfolg.</i>;;
die Ebene;уровень;<i>Der Bahnsteig ist auf einer anderen <b>Ebene</b> des Bahnhofs.</i>;;
die Übung;упражнение;<i>Das ist eine gute <b>Übung</b> für die Beinmuskeln.</i>;;
der Atem;дыхание;<i>Es ist so kalt, dass ich meinen eigenen <b>Atem</b> sehen kann.</i>;;
anregen;стимулировать;<i>Stickstoff im Boden <b>regt</b> das Pflanzenwachstum <b>an</b>.</i>;;
