der Chef;шеф
fleißig;прилежный, усердный, трудолюбивый
das Geld;деньги
verdienen;зарабатывать
die Bewerbung;резюме
faul;ленивый
das Gehalt;зарплата
selbstständig;самозанятый
die Arbeitslosigkeit;безработица
der Arbeitgeber;работодатель
müde;усталый, уставший
in Rente gehen;выходить на пенсию
der Arbeitnehmer;работник
der Beruf;профессия
arbeiten;работать
arbeitslos;безработный
der Renter;пенсионер
die Bemühung;усилие
die Abmachung;сделка
die Zusammenarbeit;сотрудничество
die Produktion;производство
das Unternehmen;дело, предприятие
die Anstrengung;старание
die Nutzung;использование
der Experiment;эсперимент
die Überprüfung;проверка
der Aufsicht;контроль
die Firma;фирма, компания
die Ferme;ферма
der Hersteller;производитель
der Lieferant;поставщик
die Lieferung;поставка
der Auftraggeber;заказчик
der Kunde;клиент
der Käufer;продавец
der Verkäufer;покупатель
der Projektant;проектировщик
der Manager;менеджер
der Arbeiter;рабочий
der Angestellte;служащий
die Verwaltung;управление
die Implementierung;внедрение
die Verwaltung, die Leitung;руководство
die Kündigung;аннулирование
der Vertragsabschluss;заключение контракта
die Vertragsverlängerung;продление контракта
die Teilnahme;участие
der Teilnehmer;участник
die Vorbereitung;подготовка
der Prozess, der Vorgang;процесс
der Leiter;руководитель
der Gründer;основатель
der Kollere;коллега
der Berater;консультант
die Beratung;консультация, консультирование
der Verwalter;администратор, управляющий
der Erbe;наследник
der Erfolg;успех
die Erfahrung;опыт
die Besprechung;собеседование
