#Неправильные глаголы по приоритету 4
#separator:Semicolon
#html:true
#tags:verb verb_p4
#columns:Front;Form2;Form3;Back;Example
lügen;log;gelogen;лгать;<i>Du sollst nicht <b>lügen</b>.</i>
schmelzen (schmilzt);schmolz;geschmolzen;таять, плавиться;<i>Das Eis wird schnell <b>schmelzen</b>.</i>
wiegen;wog;gewogen;взвешивать, весить;<i>Sie müssen das Gemüse <b>wiegen</b>.</i>
beißen;biss;gebissen;кусать;<i>Der Hund kann <b>beißen</b>.</i>
gleichen;glich;geglichen;быть похожим;<i>Das Kind muss dem Vater <b>gleichen</b>.</i>
gleiten;glitt;geglitten;скользить;<i>Das Boot kann auf dem Wasser <b>gleiten</b>.</i>
leiden;litt;gelitten;страдать;<i>Er muss sehr unter der Krankheit <b>leiden</b>.</i>
pfeifen;pfiff;gepfiffen;свистеть;<i>Der Vogel kann schön <b>pfeifen</b>.</i>
reißen;riss;gerissen;рвать;<i>Man kann das Papier leicht <b>reißen</b>.</i>
schreiten;schritt;geschritten;шагать, шествовать;<i>Sie werden langsam vorwärts <b>schreiten</b>.</i>
streichen;strich;gestrichen;красить, намазывать, вычеркивать, бродить;<i>Ich muss die Wand <b>streichen</b>.</i>
blasen (bläst);blies;geblasen;дуть, выдувать;<i>Er kann Seifenblasen <b>blasen</b>.</i>
raten (rät);riet;geraten;советовать;<i>Ich kann dir nur <b>raten</b>, vorsichtig zu sein.</i>
fangen (fängt);fing;gefangen;ловить;<i>Der Fischer will Fische <b>fangen</b>.</i>
hauen;haute/hieb;gehauen;бить, ударять;<i>Man soll nicht auf den Tisch <b>hauen</b>.</i>
stoßen (stößt);stieß;gestoßen;толкать, ударять;<i>Du darfst ihn nicht <b>stoßen</b>.</i>
treten (tritt);trat;getreten;(на)ступать, пинать;<i>Er will auf den Ball <b>treten</b>.</i>
befehlen (befiehlt);befahl;befohlen;приказывать;<i>Der Offizier muss seinen Soldaten <b>befehlen</b>.</i>
bergen (birgt);barg;geborgen;спасать, прятать;<i>Wir müssen die Schätze aus dem Meer <b>bergen</b>.</i>
bersten (birst);barst;geborsten;трескаться;<i>Der Ballon wird bald <b>bersten</b>.</i>
brechen (bricht);brach;gebrochen;ломать;<i>Sie kann den Ast leicht <b>brechen</b>.</i>
erschrecken (erschrickt);erschrak;erschrocken;испугать;<i>Du sollst mich nicht <b>erschrecken</b>.</i>
gelten (gilt);galt;gegolten;считаться, относиться;<i>Diese Regel muss für alle <b>gelten</b>.</i>
werben (wirbt);warb;geworben;набирать, рекламировать;<i>Die Firma muss für ihr Produkt <b>werben</b>.</i>
