#Предлоги
#separator:Semicolon
#html:true
#tags:preposition предлог
#columns:Front;Back;Notes;Example
bis;до;akkuzativ;<i>Der Zug fährt <b>bis</b> Berlin.</i>
durch;через;akkuzativ;<i>Wir gehen <b>durch</b> den Park.</i>
entlang;вдоль;akkuzativ<br />стоит после субъекта;<i>Gehen Sie die Straße <b>entlang</b>.</i>
für;для, за;akkuzativ;<i>Das Geschenk ist <b>für</b> dich.</i>
gegen;против;akkuzativ;<i>Ich bin <b>gegen</b> diese Idee.</i>
ohne;без;akkuzativ<br />после него нет артикля и падежа;<i>Ich kann nicht <b>ohne</b> dich leben.</i>
pro;на, с/за;akkuzativ;<i>Das kostet 5 Euro <b>pro</b> Stück.</i>
um;вокруг, около;akkuzativ;<i>Der Bus fährt <b>um</b> den See.</i>
an;у, на (верт);akkuzativ + dativ;<i>Ich warte <b>an</b> der Haltestelle.</i>
auf;на (гор);akkuzativ + dativ;<i>Das Buch liegt <b>auf</b> dem Tisch.</i>
hinter;за;akkuzativ + dativ;<i>Die Katze sitzt <b>hinter</b> dem Sofa.</i>
in;в;akkuzativ + dativ;<i>Ich wohne <b>in</b> Deutschland.</i>
neben;рядом;akkuzativ + dativ;<i>Das Auto steht <b>neben</b> dem Baum.</i>
über;над;akkuzativ + dativ<br />в значении "о" всегда akk;<i>Die Lampe hängt <b>über</b> dem Tisch.</i>
unter;под;akkuzativ + dativ;<i>Der Hund schläft <b>unter</b> dem Tisch.</i>
vor;перед;akkuzativ + dativ;<i>Das Auto parkt <b>vor</b> dem Haus.</i>
zwischen;между;akkuzativ + dativ;<i>Der Stuhl steht <b>zwischen</b> dem Tisch und dem Sofa.</i>
ab;с, от;dativ;<i><b>Ab</b> morgen bin ich im Urlaub.</i>
außer;кроме;dativ;<i>Alle <b>außer</b> mir waren da.</i>
aus;из;dativ;<i>Ich komme <b>aus</b> Deutschland.</i>
bei;у;dativ;<i>Ich wohne <b>bei</b> meinen Eltern.</i>
gegenüber;напротив;dativ<br />стоит после субъекта;<i>Der Supermarkt ist dem Bahnhof <b>gegenüber</b>.</i>
laut;согласно;dativ;<i><b>Laut</b> Wetterbericht regnet es heute.</i>
mit;с;dativ;<i>Ich fahre <b>mit</b> dem Bus.</i>
nach;в, на/по/после;dativ;<i>Ich fahre <b>nach</b> Hause.</i>
seit;с (времени);dativ;<i>Ich lerne Deutsch <b>seit</b> zwei Jahren.</i>
von;от;dativ;<i>Das Buch ist <b>von</b> Thomas Mann.</i>
zu;к;dativ;<i>Ich gehe <b>zum</b> Arzt.</i>
dank;благодаря;dativ;<i><b>Dank</b> deiner Hilfe habe ich es geschafft.</i>
während;вовремя;genetiv;<i><b>Während</b> des Essens spricht man nicht.</i>
aufgrund;по причине;genetiv;<i><b>Aufgrund</b> des Wetters bleiben wir zu Hause.</i>
infolge;вследствие;genetiv;<i><b>Infolge</b> des Unfalls gab es Stau.</i>
wegen;из-за;genetiv;<i>Ich kann <b>wegen</b> des Regens nicht kommen.</i>
trotz;несмотря на, вопреки;genetiv;<i><b>Trotz</b> des schlechten Wetters gehen wir spazieren.</i>
anstatt;взамен;genetiv;<i><b>Anstatt</b> des Kaffees trinke ich Tee.</i>
statt;вместо;genetiv;<i>Ich nehme Wasser <b>statt</b> Saft.</i>
