Infinitiv;Präteritum;Partizip II;Перевод
leihen;lieh;geliehen;брать взаймы
meiden;mied;gemieden;избегать
scheiden;schied;geschieden;разделять, разводить
scheinen;schien;geschienen;светить
schweigen;schwieg;geschwiegen;молчать
treiben;trieb;getrieben;гнать, заниматься спортом
weisen;wies;gewiesen;указывать
fliehen;floh;geflohen;убегать
gebären;gebar;geboren;рожать
genesen;genas;genesen;выздоравливать
geschehen (geschieht);geschah;geschehen;происходить, случаться
erwägen;erwog;erwogen;обдумывать
flechten;flocht;geflechten;плести, вязать
heben;hob;gehoben;поднимать, повышать
