Infinitiv;Präteritum;Partizip II;Перевод
sein;war;gewesen;быть
haben;hatte;gehabt;иметь
werden;wurde;geworden;становиться
müssen;musste;gemusst;быть должным
können;konnte;gekonnt;мочь
sollen;sollte;gesollt;быть должным
wollen;wollte;gewollt;хотеть
dürfen;durfte;gedurft;мочь
mögen;mochte;gemocht;хотеть, любить
gehen;ging;gegangen;идти
kommen;kam;gekommen;приходить
sprechen (spricht);sprach;gesprochen;говорить
geben (gibt);gab;gegeben;дать
sehen (sieht);sah;gesehen;видеть
finden;fand;gefunden;найти
bleiben;blieb;geblieben;оставаться
liegen;lag;gelegen;лежать
sitzen;saß;gesessen;сидеть
stehen;stand;gestanden;стоять
schreiben;schrieb;geschrieben;писать
lesen (liest);las;gelesen;читать
essen (isst);aß;gegessen;есть, кушать
fahren (fährt);fuhr;gefahren;ехать
helfen (hilft);half;geholfen;помогать
trinken;trank;getrunken;пить
beginnen;begann;begonnen;начинать
wissen (weiß);wusste;gewusst;знать
nehmen (nimmt);nahm;genommen;брать

verlieren;verlor;verloren;терять, проигрывать
gelingen;gelang;gelungen;удаваться
greifen;griff;gegriffen;хватать, браться
verzeihen;verzieh;verziehen;прощать
genießen;genoss;genossen;наслаждаться
gießen;goss;gegossen;лить
schießen;schoss;geschossen;стрелять
zwingen;zwang;gezwungen;принуждать, заставлять
dringen;drang;gedrungen;настаивать, требовать
klingen;klang;geklungen;звучать
werfen (wirft);warf;geworfen;бросать
graben (gräbt);grub;gegraben;копать
wachsen (wächst);wuchs;gewachsen;расти, увеличиваться
biegen;bog;gebogen;гнуть, изгибать
frieren;fror;gefroren;мерзнуть
kriechen;kroch;gekrochen;ползать, ползти
schlafen (schläft);schlief;geschlafen;спать
treffen (trifft);traf;getroffen;встречать (ся)
ziehen;zog;gezogen;тянуть
kennen;kannte;gekannt;знать
rufen;rief;gerufen;кричать, звать
schließen;schloss;geschlossen;закрывать
bieten;bot;geboten;предлагать
bringen;brachte;gebracht;приносить
denken;dachte;gedacht;думать
halten (hält);hielt;gehalten;держать
lassen (lässt);ließ;gelassen;оставлять
laufen (läuft);lief;gelaufen;бежать

reiten;ritt;geritten;ездить верхом
schneiden;schnitt;geschnitten;резать
schreien;schrie;geschrien;кричать
springen;sprang;gespungen;прыгать
steigen;stieg;gestiegen;подниматься
streiten;stritt;gestritten;спорить, ссориться
tragen (trägt);trug;getragen;нести
waschen (wäscht);wusch;gewaschen;мыть
gewinnen;gewann;gewonnen;выигрывать, добывать
fliegen;flog;geflogen;летать
fließen;floss;geflossen;течь
riechen;roch;gerochen;нюхать, пахнуть
schieben;schob;geschoben;двигать
sinken;sank;gesunken;погружаться
verschwinden;verschwand;verschwunden;исчезать
binden;band;gebunden;завязывать, связывать
singen;sang;gesungen;петь
sterben (stirbt);starb;gestorben;умирать
backen (bäckt);buk/backte;gebacken;печь
laden (lädt);lud;geladen;грузить
schaffen;schuf;geschaffen;создавать
schlagen (schlägt);schlug;geschlagen;бить
braten (brät);briet;gebraten;жарить
fallen (fällt);fiel;gefallen;падать
gefallen (gefällt);gefiel;gefallen;нравиться
hängen;hing;gehangen;повесить
heißen;hieß;geheißen;называться
vergessen (vergisst);vergaß;vergessen;забывать
bitten;bat;gebeten;просить
tun (tut);tat;getan;делать

lügen;log;gelogen;лгать
schmelzen (schmilzt);schmolz;geschmolzen;таять, плавиться
wiegen;wog;gewogen;взвешивать, весить
beißen;biss;gebissen;кусать
gleichen;glich;geglichen;быть похожим
gleiten;glitt;geglitten;скользить
leiden;litt;gelitten;страдать
pfeifen;pfiff;gepfiffen;свистеть
reißen;riss;gerissen;рвать
schreiten;schritt;geschritten;шагать, шествовать
streichen;strich;gestrichen;красить, намазывать, вычеркивать, бродить
blasen (bläst);blies;geblasen;дуть, выдувать
raten (rät);riet;geraten;советовать
fangen (fängt);fing;gefangen;ловить
hauen;haute/hieb;gehauen;бить, ударять
stoßen (stößt);stieß;gestoßen;толкать, ударять
treten (tritt);trat;getreten;(на)ступать, пинать
befehlen (befiehlt);befahl;befohlen;приказывать
bergen (birgt);barg;geborgen;спасать, прятать
bersten (birst);barst;geborsten;трескаться
brechen (bricht);brach;gebrochen;ломать
erschrecken (erschrickt);erschrak;erschrocken;испугать
gelten (gilt);galt;gegolten;считаться, относиться
werben (wirbt);warb;geworben;набирать, рекламировать
