und;и, а
aber;но, однако
denn;так как, потому что
oder;или, либо
sondern;но, а
sowie;а также, как и
deshalb;потому
deswegen;по этой причине
darum;поэтому
außerdem;кроме того
trotzdem;несмотря на это
zwar;правда, хотя
doch;однако, все же
jedoch;однако, тем не менее
also;итак, так что, стало быть

als;чем, как, когда, в то время как
bevor;прежде чем
bis;пока, до тех пор пока
da;потому что, поскольку
dass;что
indem;что, тем, тем что
insoweit;постольку, настолько
nachdem;после того как, после
ob;ли, ль, хоть
obwohl;хотя, несмотря на то что
sobald;как только
solange;тем временем, пока
wann;когда
wenn;когда, если
weil;так как, потому что, поскольку
