schalten Sie bitte ein;включите
das Warnblinklicht;аварийная сигнализация
das Standlicht;стояночный свет
das Abblendlicht;ближний свет
das Fernlicht;дальний свет
die Nebelschlussleuchte;задняя противотуманная фара
der Nebelscheinwerfer;передняя противотуманная фара
die Lichthupe;световой сигнал
die Hupe (die Hupen);звуковой сигнал

Was kontrolliert man bei den Reifen?;Что контролируется у колес
der Reifendruck;давление воздуха в колесе
der Reifenverschließ;износ резины
die Beschädigung;повреждение
der Sommer/Winterreifen;летняя/зимняя резина

Kontrollieren Sie bitte;проконтролируйте, пожалуйста
der Ölstand;уровень масла
die Kühlflüssigkeit;охлаждающая жидкость
die Scheibenwaschanlage;омыватель стекла

Wann schaltet man das Warnblinklicht ein?;Когда включается аварийная сигнализация?
die Unfallstelle absichern;обезопасить место аварии
das Auto kaputt;поломка машины
der Stau außerorts;пробка вне населенного пункта
auf der Autobahn und im Tunnel;на автобане и в туннеле
das Abschleppen (bugsieren);буксировка

das Reflektor;отражатель
